Game,Player,Stat Type,Point Total,Over/Under,American Odds
Chicago Bulls vs. Houston Rockets,Jalen Green,points,23.5,Under,-205
Chicago Bulls vs. Houston Rockets,Jalen Green,points,24.5,Under,-250
Chicago Bulls vs. Houston Rockets,Jalen Green,points,25.5,Under,-310
Chicago Bulls vs. Houston Rockets,Jalen Green,points,26.5,Under,-400
Chicago Bulls vs. Houston Rockets,Jalen Green,points,27.5,Under,-470
Chicago Bulls vs. Houston Rockets,Jalen Green,points_assists,27.5,Under,-215
Chicago Bulls vs. Houston Rockets,Jalen Green,points_assists,28.5,Under,-260
Chicago Bulls vs. Houston Rockets,Jalen Green,points_assists,29.5,Under,-320
Chicago Bulls vs. Houston Rockets,Jalen Green,points_assists,30.5,Under,-400
Chicago Bulls vs. Houston Rockets,Jalen Green,points_assists,31.5,Under,-490
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds,29.5,Under,-220
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds,30.5,Under,-270
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds,31.5,Under,-320
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds,32.5,Under,-400
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds,33.5,Under,-470
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds_assists,33.5,Under,-230
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds_assists,34.5,Under,-270
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds_assists,35.5,Under,-320
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds_assists,36.5,Under,-400
Chicago Bulls vs. Houston Rockets,Jalen Green,points_rebounds_assists,37.5,Under,-470
Chicago Bulls vs. Houston Rockets,Jalen Green,rebounds,6.5,Under,-290
Chicago Bulls vs. Houston Rockets,Jalen Green,rebounds_assists,10.5,Under,-290
Chicago Bulls vs. Houston Rockets,Jalen Green,rebounds_assists,11.5,Under,-470
Chicago Bulls vs. Houston Rockets,Jalen Green,threes,4.5,Under,-550
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,assists,7.5,Under,-280
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,assists,8.5,Under,-580
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,assists,9.5,Under,-1000
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,26.5,Under,-225
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,27.5,Under,-270
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,28.5,Under,-330
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,29.5,Under,-420
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,30.5,Under,-500
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,31.5,Under,-670
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,32.5,Under,-800
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points,33.5,Under,-1100
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,32.5,Under,-200
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,33.5,Under,-245
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,34.5,Under,-290
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,35.5,Under,-350
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,36.5,Under,-440
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,37.5,Under,-550
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,38.5,Under,-670
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_assists,39.5,Under,-900
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds,34.5,Under,-420
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds,35.5,Under,-500
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds,36.5,Under,-650
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds,37.5,Under,-800
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds,38.5,Under,-1100
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,37.5,Under,-205
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,38.5,Under,-250
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,39.5,Under,-300
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,40.5,Under,-350
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,41.5,Under,-440
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,42.5,Under,-550
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,43.5,Under,-670
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,44.5,Under,-900
Memphis Grizzlies vs. Denver Nuggets,Jamal Murray,points_rebounds_assists,45.5,Under,-1100
